Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,home_clean,team_clean,intFormedYear,intStadiumCapacity,strLeague,anios_historia,total_goles_partido,diferencia_goles,resultado_target,cluster_kmeans
18/03/2023,Almeria,Cadiz,1,1,D,17,10,5,4,5,2,almeria,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
18/03/2023,Vallecano,Girona,2,2,D,15,12,3,4,3,5,vallecano,,1900.0,38279.0,Liga_Desconocida,126.0,4,0,Empate,2
18/03/2023,Espanol,Celta,1,3,A,11,8,3,4,4,1,espanol,,1900.0,38279.0,Liga_Desconocida,126.0,4,-2,Derrota_Local,2
18/03/2023,Ath Madrid,Valencia,3,0,H,14,9,6,1,4,2,ath madrid,,1900.0,38279.0,Liga_Desconocida,126.0,3,3,Victoria_Local,1
19/03/2023,Betis,Mallorca,1,0,H,10,5,3,1,4,4,betis,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
19/03/2023,Osasuna,Villarreal,0,3,A,10,12,2,6,7,1,osasuna,,1900.0,38279.0,Liga_Desconocida,126.0,3,-3,Derrota_Local,2
19/03/2023,Sociedad,Elche,2,0,H,17,4,4,3,5,3,sociedad,,1900.0,38279.0,Liga_Desconocida,126.0,2,2,Victoria_Local,0
19/03/2023,Getafe,Sevilla,2,0,H,15,11,4,4,4,1,getafe,getafe,1946.0,17393.0,Spanish La Liga,80.0,2,2,Victoria_Local,0
19/03/2023,Barcelona,Real Madrid,2,1,H,17,11,7,3,8,1,barcelona,barcelona,1899.0,99354.0,Spanish La Liga,127.0,3,1,Victoria_Local,1
31/03/2023,Mallorca,Osasuna,0,0,D,10,11,1,2,2,3,mallorca,,1900.0,38279.0,Liga_Desconocida,126.0,0,0,Empate,0
01/04/2023,Girona,Espanol,2,1,H,14,5,4,1,5,2,girona,,1900.0,38279.0,Liga_Desconocida,126.0,3,1,Victoria_Local,0
01/04/2023,Ath Bilbao,Getafe,0,0,D,17,9,3,1,13,3,ath bilbao,,1900.0,38279.0,Liga_Desconocida,126.0,0,0,Empate,0
01/04/2023,Cadiz,Sevilla,0,2,A,14,11,3,5,8,4,cadiz,,1900.0,38279.0,Liga_Desconocida,126.0,2,-2,Derrota_Local,2
01/04/2023,Elche,Barcelona,0,4,A,15,12,2,6,11,3,elche,elche,1923.0,36017.0,Spanish La Liga,103.0,4,-4,Derrota_Local,2
02/04/2023,Celta,Almeria,2,2,D,21,8,5,3,4,1,celta,,1900.0,38279.0,Liga_Desconocida,126.0,4,0,Empate,2
02/04/2023,Real Madrid,Valladolid,6,0,H,30,12,17,2,9,1,madrid,madrid,1903.0,67703.0,Spanish La Liga,123.0,6,6,Victoria_Local,1
02/04/2023,Villarreal,Sociedad,2,0,H,16,16,4,3,4,4,villarreal,,1900.0,38279.0,Liga_Desconocida,126.0,2,2,Victoria_Local,0
02/04/2023,Ath Madrid,Betis,1,0,H,13,6,7,2,5,1,ath madrid,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
03/04/2023,Valencia,Vallecano,1,1,D,18,7,4,2,13,3,valencia,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
07/04/2023,Sevilla,Celta,2,2,D,7,9,2,4,8,3,sevilla,,1900.0,38279.0,Liga_Desconocida,126.0,4,0,Empate,2
08/04/2023,Osasuna,Elche,2,1,H,22,7,6,1,9,2,osasuna,,1900.0,38279.0,Liga_Desconocida,126.0,3,1,Victoria_Local,0
08/04/2023,Espanol,Ath Bilbao,1,2,A,9,12,2,7,8,7,espanol,,1900.0,38279.0,Liga_Desconocida,126.0,3,-1,Derrota_Local,2
08/04/2023,Sociedad,Getafe,2,0,H,11,6,6,4,3,2,sociedad,,1900.0,38279.0,Liga_Desconocida,126.0,2,2,Victoria_Local,0
08/04/2023,Real Madrid,Villarreal,2,3,A,18,17,4,8,6,7,madrid,madrid,1903.0,67703.0,Spanish La Liga,123.0,5,-1,Derrota_Local,1
